Pred_age1,Pred_age2
8.7997,9.8929
6.1448,7.0999
7.3172,8.2219
5.066,5.864
5.6011,6.3959
3.1806,3.9437
4.0875,4.8103
6.8685,7.5397
9.0561,9.6809
2.4351,3.0551
4.1345,4.7377
3.8051,4.2823
2.4557,2.9219
4.0096,4.4753
3.1514,3.612
4.7215,5.1792
5.8989,6.3503
7.1276,7.5725
4.1297,4.5626
5.9714,6.404
2.5511,2.9836
5.4286,5.8481
2.5644,2.9732
3.5614,3.9533
5.4016,5.7857
5.6799,6.0614
8.7076,9.0789
4.3764,4.742
8.4816,8.8371
4.8133,5.1658
3.9557,4.3026
5.2414,5.5875
2.8301,3.171
4.1823,4.5166
4.5939,4.9234
2.3502,2.6776
4.3004,4.6258
2.9534,3.2707
3.4249,3.7276
3.8551,4.1575
2.3048,2.6018
4.6189,4.9159
2.6403,2.9319
5.8511,6.1408
6.7866,7.0682
7.3197,7.6012
6.3946,6.6759
4.3798,4.6607
4.1023,4.382
3.4719,3.7512
7.0262,7.301
6.7215,6.995
2.637,2.9072
9.634,9.9005
1.9159,2.1819
3.4259,3.6914
6.0613,6.3238
4.9032,5.1632
2.7362,2.9907
5.3037,5.5546
6.8319,7.0777
2.3712,2.6144
5.492,5.734
3.2866,3.5258
4.4527,4.6918
6.3807,6.6156
6.5673,6.8003
6.0076,6.24
2.9238,3.155
6.3325,6.5584
7.3883,7.6128
4.102,4.3263
2.5923,2.8152
7.1347,7.3574
2.3186,2.5413
6.2109,6.4329
7.7583,7.9786
8.373,8.5842
6.9066,7.117
2.6072,2.8166
4.909,5.1101
4.2035,4.4013
3.673,3.866
2.7138,2.9066
6.3856,6.577
9.2556,9.4425
2.2125,2.3986
2.7099,2.894
2.4623,2.6447
4.1402,4.3196
4.7814,4.9507
6.5038,6.6727
5.8744,6.0415
4.3866,4.553
5.0222,5.185
4.1953,4.3505
4.5485,4.7024
5.2552,5.404
6.8767,7.0155
3.6352,3.7709
6.7925,6.9268
1.7624,1.8964
4.6719,4.8052
2.1029,2.2352
4.7599,4.8913
6.4915,6.618
5.3317,5.4501
1.7682,1.8809
5.7295,5.8277
7.4641,7.5618
2.0885,2.1838
6.4273,6.5194
7.5836,7.6701
6.4324,6.5181
6.4383,6.5234
6.2294,6.3116
5.7956,5.8743
5.3703,5.446
6.2289,6.304
2.4985,2.5708
4.3649,4.4361
1.9137,1.9837
6.0529,6.1224
2.074,2.1375
3.774,3.8368
1.4949,1.5532
5.3816,5.4391
6.5909,6.6481
6.4597,6.5127
4.2499,4.3018
1.2295,1.2801
3.6419,3.691
4.8942,4.9424
2.8138,2.8611
5.6355,5.6815
3.5606,3.6055
2.4182,2.4628
1.8532,1.894
5.1315,5.1673
1.8997,1.935
6.5621,6.5966
6.7371,6.7715
5.5714,5.603
1.636,1.6651
2.2401,2.259
1.903,1.9177
2.9227,2.9356
2.6407,2.6521
6.1554,6.164
5.7966,5.8014
1.0905,1.0948
4.5078,4.5112
4.1341,4.1361
6.2332,6.2332
2.3548,2.3466
3.2792,3.2705
1.0945,1.0839
5.3088,5.2967
5.9604,5.9481
1.1063,1.0927
1.6271,1.6128
5.5236,5.5084
3.8875,3.8721
1.7392,1.7212
6.384,6.3659
2.6231,2.6023
1.1628,1.1398
1.5521,1.527
1.102,1.0765
7.387,7.3613
1.0481,1.0224
0.8773,0.8496
4.6505,4.6219
3.1932,3.1626
2.5846,2.5512
1.449,1.411
4.9978,4.9593
6.6474,6.6069
5.8404,5.7972
9.1208,9.0756
3.7934,3.7453
2.2588,2.2098
3.8031,3.7535
4.0906,4.0401
1.1989,1.1459
0.9318,0.8768
1.0062,0.9464
3.7107,3.6509
1.6902,1.6283
3.2765,3.2142
4.1165,4.0524
5.2273,5.1627
1.0256,0.9593
0.9546,0.8882
4.4685,4.401
2.8873,2.8186
8.081,8.0096
0.759,0.6874
1.1067,1.0334
7.2541,7.1807
1.6185,1.542
6.5994,6.5223
6.6384,6.5579
3.6198,3.5357
5.8156,5.7298
1.0428,0.9564
6.5446,6.4566
6.2356,6.147
4.2158,4.125
3.0536,2.9627
1.1176,1.0262
4.4635,4.3683
5.9562,5.8604
0.9166,0.819
4.9941,4.8941
6.099,5.9986
3.7572,3.6547
1.196,1.0895
0.997,0.8899
2.6544,2.547
4.5623,4.4547
6.0321,5.9235
6.0618,5.9502
3.6479,3.5353
3.4909,3.3779
3.3254,3.2117
6.9327,6.8173
1.1004,0.985
6.1655,6.05
4.2876,4.1711
4.5296,4.413
1.1078,0.9901
1.1395,1.0211
0.7548,0.6337
1.9777,1.8551
3.7447,3.6213
5.0943,4.97
7.1113,6.9863
5.3481,5.2193
4.0601,3.9306
0.8485,0.7185
4.5829,4.447
7.4662,7.3296
5.8406,5.7013
0.853,0.7129
4.9762,4.8361
0.9303,0.7886
3.9226,3.7808
0.874,0.7319
0.7562,0.6138
0.9515,0.8023
6.2537,6.1043
1.1393,0.987
4.0745,3.9219
0.7908,0.6382
4.8955,4.7427
1.0399,0.8867
1.1084,0.9541
1.0819,0.9267
0.7646,0.6087
4.2262,4.0686
6.8727,6.7141
3.474,3.3134
4.2793,4.111
5.4653,5.2929
3.577,3.4045
1.0784,0.9042
7.3452,7.1699
3.8987,3.7216
0.996,0.8179
5.1291,4.9498
0.8359,0.6542
6.2317,6.0476
5.0946,4.9091
6.8689,6.6829
2.7316,2.5435
6.2164,6.0237
1.3406,1.1474
3.0181,2.8248
4.7017,4.5059
0.7487,0.5519
7.0455,6.8449
4.6881,4.4794
2.6199,2.41
4.2781,4.0673
4.077,3.865
5.8982,5.6856
0.7372,0.5243
5.689,5.4756
6.3766,6.163
4.227,4.0131
0.8309,0.616
3.476,3.259
3.9495,3.7265
2.122,1.8954
1.5321,1.3042
4.7831,4.5517
3.419,3.1823
0.7635,0.5249
7.1115,6.8684
5.3768,5.1317
0.7099,0.4621
0.7373,0.4882
4.4206,4.1672
5.2894,5.0304
0.6195,0.3589
1.1401,0.8776
5.8009,5.5337
0.6939,0.4251
1.2289,0.95
4.0656,3.784
5.9336,5.6426
5.7727,5.4754
6.3036,6.0053
4.9813,4.6744
6.5311,6.2229
1.3499,1.0354
3.6445,3.3134
9.0527,8.713
6.1707,5.8266
5.3966,5.0518
7.2301,6.8841
1.0294,0.6833
5.7572,5.4107
5.367,5.0133
2.3391,1.9723
4.8333,4.4654
7.791,7.4204
4.9004,4.5287
7.9626,7.5906
8.4664,8.0912
4.7675,4.3918
3.6768,3.2977
4.5266,4.1403
6.2881,5.8994
5.6174,5.2246
4.0869,3.6938
5.0074,4.6083
6.1247,5.7231
3.5498,3.1476
5.6367,5.229
4.0163,3.5916
6.8662,6.4369
2.3965,1.9652
6.0297,5.5955
4.919,4.4789
2.7629,2.3207
4.4684,4.0155
4.9641,4.4957
6.2641,5.7914
4.7419,4.2409
5.574,5.0702
6.2693,5.7637
5.3352,4.8271
5.9792,5.4579
7.8282,7.2887
4.6923,4.1234
5.6042,5.0306
2.3317,1.7309
7.0514,6.4434
6.773,6.1633
6.5537,5.9421
8.0082,7.3946
5.4481,4.8028
0.8583,0.717
1.0855,1.0312
1.2795,1.3692
0.8612,0.6455
0.7746,0.5675
0.6692,0.6089
1.1684,0.979
2.7662,2.772
2.4688,2.4711
2.0384,2.4792
1.9291,2.2395
2.0423,1.8632
2.0338,2.0152
2.0469,2.071
1.6323,1.8378
2.6311,2.9149
2.617,2.4215
1.4574,1.1125
1.8532,2.0184
1.8587,1.8384
3.1109,3.2278
2.7382,2.8387
3.0868,3.2992
3.784,3.8534
3.5972,3.7102
3.5963,3.0511
3.1466,3.4079
2.2379,2.6154
2.6505,2.3766
3.139,3.2156
3.0268,3.3206
2.9741,3.2557
4.1019,4.024
4.6077,3.9216
3.3287,3.4135
4.82,4.3106
3.824,3.8583
3.4603,3.1972
3.7941,3.7627
3.8287,3.7522
3.6073,3.9297
4.9119,4.4032
4.0267,4.3755
4.5451,4.9051
5.174,5.8784
4.2872,4.5941
5.379,5.4794
3.9262,4.2639
4.9431,4.6466
4.8796,4.9615
5.9581,6.0713
5.7711,5.6974
5.7085,5.1404
5.667,5.0194
4.7847,5.4253
5.8279,5.6585
5.7154,5.9995
5.2274,5.4665
5.093,5.5354
6.4876,5.9765
5.3604,5.3124
8.117,6.9561
8.1323,7.4918
6.9078,6.6228
7.6274,7.8336
6.6137,6.4594
6.4103,6.1319
6.834,7.3585
7.7212,7.8851
7.7316,7.9552
7.2666,7.2519
7.2537,7.204
8.9798,8.6923
7.312,6.8876
7.4986,6.8382
8.1816,8.8771
7.7131,7.6845
0.8994,0.5699
1.8917,1.9546
0.8321,0.5481
1.1454,1.1204
2.5231,2.3046
1.1302,0.6056
1.058,0.9095
1.2728,0.9428
1.1992,1.1156
1.7837,1.5777
5.3361,5.6775
3.7072,3.5526
2.5,2.5471
3.0585,2.9596
2.6117,2.6828
2.2128,2.41
6.6519,6.6023
4.8762,4.6536
4.7571,4.3327
2.007,2.0962
6.0793,5.2433
5.4786,5.321
5.6379,5.4491
5.3301,5.067
6.5204,6.6098
5.1631,5.5496
7.0302,6.9642
7.7105,7.5994
5.4192,5.2997
3.5994,3.4283
6.768,7.1815
0.9581,0.8617
1.3727,1.4454
0.9323,0.7987
2.6248,2.4078
5.4007,5.0535
6.3549,5.8402
3.4715,3.4562
5.4533,5.408
5.2763,5.2663
5.815,5.4232
4.4942,3.7464
5.1316,5.1239
4.8394,4.5796
7.3615,7.193
1.6804,1.8588
1.7978,1.5948
2.6321,2.7333
4.8322,4.881
6.2636,5.6056
5.397,5.1065
6.5591,7.012
6.2138,6.2568
7.2077,7.5331
3.8171,3.5063
8.1728,7.9469
7.6264,7.2737
5.9849,5.7873
7.5702,7.6704
7.3665,7.0429
4.7729,4.6049
5.9145,5.8175
2.6648,2.3837
6.3539,6.3665
0.9788,0.6889
7.2173,6.5589
2.1472,2.2835
3.2914,3.7728
3.653,3.8876
3.9259,3.7026
1.1821,1.1116
3.4906,3.635
0.9212,0.7066
8.4258,8.1716
1.1607,1.1021
1.0924,0.8284
7.3922,6.9184
2.4929,2.549
5.4927,4.6076
5.0234,5.2662
3.4358,3.5292
4.4864,4.7744
3.2469,3.5224
4.2252,4.9233
4.8866,5.4663
6.0638,5.3738
4.3919,4.2186
3.1633,3.2362
5.5371,5.4419
2.8328,2.8073
3.4377,3.7829
3.8226,3.693
2.4386,2.7227
8.7019,8.4471
3.1464,2.4201
2.4247,2.6228
1.9359,2.031
1.0694,0.9177
3.712,3.7326
3.5999,3.5318
5.6132,5.3075
2.7788,3.5474
8.7766,8.3323
7.3445,6.8524
5.468,5.5924
8.4772,8.0227
3.4881,3.5972
5.6237,5.4791
3.9731,3.9789
4.6284,4.8141
3.4783,3.4071
4.3906,4.534
5.2808,5.4274
5.5833,5.0739
4.3137,4.1189
5.4819,5.5155
5.1831,5.0453
6.6938,6.2983
8.0752,8.0955
5.7975,6.0072
7.1715,7.3629
5.6536,5.7164
5.544,5.3996
6.5364,6.066
3.9094,3.7141
9.0529,7.6283
3.7083,3.3034
5.5345,5.2697
2.2866,2.3588
5.4784,5.4597
4.9264,5.0278
1.008,0.8953
1.1399,1.0006
2.4893,2.3598
5.6157,6.4228
2.3929,2.7204
4.5532,4.7345
3.2449,2.8831
3.3438,3.6697
3.0847,2.9451
2.4413,2.59
1.1976,1.1521
0.8145,0.5868
1.1407,0.9107
3.0719,3.2495
5.8481,5.5126
5.4397,5.7469
6.0535,5.792
6.0043,6.1781
7.2353,7.4844
5.791,4.9537
7.2608,7.0676
6.5383,6.1332
7.3007,7.586
3.5529,3.7261
6.1114,6.3644
7.1191,7.8052
2.5279,2.7085
2.4733,2.6177
7.5081,7.9851
4.9904,5.2105
5.1312,5.5054
4.5809,4.4375
2.45,2.567
4.5112,4.368
2.8746,3.2483
2.7125,2.7474
5.6268,5.0152
6.2872,7.0472
4.8843,5.4168
7.574,7.2068
6.7337,7.4226
1.5421,1.5149
1.861,1.9135
8.1048,8.4103
6.3084,6.4652
2.7523,2.77
1.8063,1.7403
3.5031,4.0291
2.9683,2.5692
2.3268,2.4695
1.9964,1.7967
2.0349,2.1581
7.715,7.5012
5.1947,5.565
6.958,6.8103
4.9624,4.9995
4.393,4.4915
6.5616,7.2986
6.7656,5.8437
3.6539,3.5906
4.3378,4.353
6.6215,6.2666
4.5394,4.471
4.4444,4.4381
6.637,7.3018
2.2327,2.7521
1.2786,1.3105
1.4402,1.3861
1.6298,1.6042
8.2961,7.751
7.6205,7.7429
10.4911,10.7803
7.6138,7.6346
6.1057,6.0594
7.5235,7.9553
7.3287,7.2541
6.8759,5.9437
2.3311,2.2688
6.3233,5.7508
7.487,6.4082
7.5474,7.1673
3.0711,3.1091
5.0423,4.9922
5.2807,5.1168
0.9182,0.76
7.6209,7.507
10.5518,10.3427
6.5447,7.0292
0.8789,0.7604
8.1392,7.9109
9.3788,9.9964
8.7475,10.1826
8.4697,8.8895
8.5819,8.4125
0.685,0.4347
0.9135,0.784
3.8737,3.9245
5.2053,5.0034
5.7287,5.7082
6.228,6.6074
5.6267,4.7127
5.4054,5.6412
1.0435,0.9379
1.3206,1.2754
5.6545,5.3149
5.1928,5.2193
4.8428,4.6835
5.8568,5.3156
2.0806,2.0505
5.3762,4.938
2.8414,2.5015
2.2141,2.1501
3.005,3.1419
1.8137,1.6639
2.0036,2.1093
5.4733,5.5324
3.5625,3.709
3.9308,4.003
2.0672,2.0569
2.2835,1.847
0.9606,1.0142
3.9678,3.7567
1.0478,0.7806
1.1011,0.7866
0.862,0.6422
4.5722,4.7089
3.6742,3.5786
6.9267,6.7361
6.9085,6.3107
4.9488,4.5424
5.7783,5.1948
5.3152,5.4653
1.0141,0.7834
1.1173,0.9783
4.4236,4.4904
3.916,3.8694
3.7343,3.7607
3.7837,3.8924
4.8848,4.9567
3.5537,3.1386
2.4242,2.6469
3.8319,3.7227
1.6705,1.7122
3.4943,3.0005
5.4368,5.0696
5.3038,5.0758
6.1497,5.8241
5.0437,5.0497
7.9923,7.1741
6.4644,5.9193
7.0972,6.2227
3.8962,3.5957
9.1099,9.1169
5.5707,5.4016
4.8415,4.6131
5.0313,4.82
4.6742,4.4798
4.0942,3.6765
3.2978,3.4291
4.0983,4.1971
6.0552,5.8284
6.5246,5.8246
5.6731,5.9987
5.4274,5.7543
5.6033,5.9175
7.5455,7.8086
4.2692,4.0513
4.51,4.7412
5.4589,5.5836
6.5971,6.3474
7.6661,8.0913
9.2964,8.9619
0.6579,0.3939
2.2651,1.9201
1.088,1.0734
6.0963,6.0328
3.5672,3.5783
0.9326,0.7403
1.1582,1.0852
1.0687,0.9701
2.1739,2.3117
0.842,0.6152
1.2436,1.2058
1.8466,1.8279
1.9453,2.1492
